Time,Open,High,Low,Close,Volume,Turnover
2022-03-30 12:00:00,112.165,125.350,111.490,122.625,1129871.60000,133062417.34
2022-03-30 08:00:00,112.340,112.900,110.665,112.165,265435.90000,29695628.16
2022-03-30 04:00:00,110.715,112.870,109.470,112.340,367730.80000,41093065.68
2022-03-30 00:00:00,111.620,111.620,107.010,110.715,379811.70000,41456866.88
2022-03-29 20:00:00,113.815,113.930,109.210,111.620,338146.90000,37673842.36
2022-03-29 16:00:00,111.605,114.120,108.790,113.815,543429.80000,60336530.38
2022-03-29 12:00:00,113.315,115.570,111.135,111.605,721449.10000,82070501.08
2022-03-29 08:00:00,109.860,113.635,109.810,113.315,403177.90000,45072013.44
2022-03-29 04:00:00,109.010,111.680,108.545,109.860,264158.60000,29171495.51
2022-03-29 00:00:00,105.760,110.425,105.420,109.010,312386.00000,33899710.68
2022-03-28 20:00:00,111.345,113.055,105.285,105.760,458405.40000,49819857.71
2022-03-28 16:00:00,109.805,112.965,108.755,111.345,440164.20000,48924161.20
2022-03-28 12:00:00,110.025,113.810,109.165,109.805,613191.60000,68322078.13
2022-03-28 08:00:00,108.895,111.640,107.530,110.025,311211.40000,34166462.89
2022-03-28 04:00:00,106.785,111.955,105.830,108.895,456699.00000,49817800.62
2022-03-28 00:00:00,106.950,107.680,105.135,106.785,336113.70000,35766330.04
2022-03-27 20:00:00,103.110,107.380,101.635,106.950,580824.50000,60931419.88
2022-03-27 16:00:00,101.400,103.395,100.835,103.110,187344.40000,19122786.56
2022-03-27 12:00:00,100.465,101.520,98.680,101.400,338939.90000,33966469.85
2022-03-27 08:00:00,102.180,102.425,100.190,100.465,158340.10000,16007438.25
2022-03-27 04:00:00,101.830,102.400,100.940,102.180,135444.40000,13785840.94
2022-03-27 00:00:00,101.735,103.075,101.240,101.830,161730.70000,16507489.66
2022-03-26 20:00:00,102.680,103.350,101.215,101.735,209608.30000,21385130.31
2022-03-26 16:00:00,101.180,103.300,101.055,102.680,310614.50000,31875222.09
2022-03-26 12:00:00,100.330,101.890,99.565,101.180,253070.20000,25446878.23
2022-03-26 08:00:00,101.180,101.415,99.910,100.330,169387.10000,17043947.07
2022-03-26 04:00:00,98.875,101.450,98.515,101.180,360354.30000,36145172.71
2022-03-26 00:00:00,98.555,99.265,97.510,98.875,219686.40000,21615195.32
2022-03-25 20:00:00,98.470,99.200,97.760,98.555,137954.80000,13576711.10
2022-03-25 16:00:00,100.240,100.850,96.970,98.470,517676.40000,50946530.65
2022-03-25 12:00:00,104.225,104.500,99.625,100.240,504069.60000,51466256.57
2022-03-25 08:00:00,102.880,104.435,101.425,104.225,304516.80000,31328798.91
2022-03-25 04:00:00,103.495,104.875,102.580,102.880,263938.20000,27409080.17
2022-03-25 00:00:00,102.300,104.730,100.785,103.495,353745.00000,36459185.47
2022-03-24 20:00:00,102.835,103.455,101.435,102.300,234391.10000,23973076.34
2022-03-24 16:00:00,101.580,103.745,100.520,102.835,415471.40000,42400047.15
2022-03-24 12:00:00,100.020,102.300,98.175,101.580,688730.50000,69117048.98
2022-03-24 08:00:00,97.050,101.775,96.635,100.020,518721.40000,51434089.11
2022-03-24 04:00:00,94.615,97.555,94.570,97.050,252831.40000,24398432.59
2022-03-24 00:00:00,94.855,95.905,93.305,94.615,320768.30000,30387536.56
2022-03-23 20:00:00,92.780,95.225,92.615,94.855,150784.70000,14177395.79
2022-03-23 16:00:00,95.595,96.055,92.535,92.780,299280.00000,28124416.78
2022-03-23 12:00:00,91.320,96.350,90.895,95.595,441902.90000,41494467.03
2022-03-23 08:00:00,91.085,91.735,90.550,91.320,114186.10000,10401492.38
2022-03-23 04:00:00,90.035,91.745,89.625,91.085,148804.20000,13508038.18
2022-03-23 00:00:00,90.365,91.230,89.055,90.035,210636.20000,18991723.82
2022-03-22 20:00:00,91.360,92.435,89.500,90.365,202382.40000,18460228.73
2022-03-22 16:00:00,92.505,93.560,91.325,91.360,236577.90000,21938736.77
2022-03-22 12:00:00,91.915,93.895,90.945,92.505,389970.10000,36118400.50
2022-03-22 08:00:00,90.200,92.145,89.950,91.915,201722.50000,18397152.66
2022-03-22 04:00:00,90.960,92.455,89.445,90.200,268769.70000,24495912.39
2022-03-22 00:00:00,88.590,91.730,87.925,90.960,335269.50000,30210441.60
2022-03-21 20:00:00,88.695,89.220,88.185,88.590,102434.40000,9085916.66
2022-03-21 16:00:00,89.545,89.635,87.450,88.695,248034.40000,21871175.15
2022-03-21 12:00:00,89.770,91.240,88.575,89.545,341384.20000,30595655.02
2022-03-21 08:00:00,89.620,91.065,89.340,89.770,226408.60000,20422729.96
2022-03-21 04:00:00,87.705,89.695,87.575,89.620,153189.80000,13574654.45
2022-03-21 00:00:00,88.585,89.180,86.620,87.705,215308.30000,18881143.71
2022-03-20 20:00:00,89.510,90.335,88.255,88.585,137194.00000,12226954.96
2022-03-20 16:00:00,89.165,89.895,87.875,89.510,207939.00000,18471038.85
2022-03-20 12:00:00,89.890,90.610,88.910,89.165,196054.60000,17585518.72
2022-03-20 08:00:00,90.995,91.630,89.515,89.890,136635.10000,12358677.19
2022-03-20 04:00:00,90.725,91.530,90.320,90.995,95516.40000,8688747.03
2022-03-20 00:00:00,92.285,92.505,90.310,90.725,135201.80000,12329477.78
2022-03-19 20:00:00,92.600,93.375,91.120,92.285,196587.70000,18145925.83
2022-03-19 16:00:00,94.015,94.505,92.305,92.600,267924.10000,25027347.80
2022-03-19 12:00:00,90.690,94.190,90.395,94.015,377252.10000,34897584.37
2022-03-19 08:00:00,89.325,90.970,89.240,90.690,86384.70000,7792703.89
2022-03-19 04:00:00,90.230,90.800,89.205,89.325,110555.40000,9936487.55
2022-03-19 00:00:00,89.675,92.330,89.230,90.230,240843.40000,21826412.34
2022-03-18 20:00:00,91.015,91.680,88.835,89.675,190632.70000,17167359.12
