Time,Open,High,Low,Close,Volume,Turnover
2023-12-09 00:00:00,2361.150,2409.540,2325.220,2342.080,713781.58000,1686240302.48
2023-12-08 00:00:00,2356.810,2395.810,2334.140,2361.150,761957.69000,1800537665.86
2023-12-07 00:00:00,2233.560,2386.000,2221.930,2356.810,1118028.88000,2580730061.52
2023-12-06 00:00:00,2294.740,2313.880,2217.750,2233.560,821965.29000,1863409518.71
2023-12-05 00:00:00,2245.000,2312.650,2186.530,2294.740,1176878.82000,2646112566.20
2023-12-04 00:00:00,2194.520,2277.990,2193.220,2245.000,1064353.66000,2378714029.98
2023-12-03 00:00:00,2166.760,2223.610,2150.380,2194.520,622437.93000,1354532454.49
2023-12-02 00:00:00,2088.280,2198.000,2087.350,2166.760,736451.94000,1574519305.73
2023-12-01 00:00:00,2052.920,2113.260,2045.590,2088.280,812859.73000,1699424198.99
2023-11-30 00:00:00,2029.050,2056.000,2021.040,2052.920,453583.49000,924228387.46
2023-11-29 00:00:00,2049.010,2077.000,2015.340,2029.050,547002.58000,1117270215.89
2023-11-28 00:00:00,2029.090,2076.590,1995.090,2049.010,651503.17000,1327074907.25
2023-11-27 00:00:00,2063.050,2072.110,1985.000,2029.090,752106.87000,1523030635.26
2023-11-26 00:00:00,2084.000,2095.880,2036.060,2063.050,553726.19000,1146326571.70
2023-11-25 00:00:00,2081.440,2091.410,2066.000,2084.000,295216.57000,614219166.24
2023-11-24 00:00:00,2062.880,2134.900,2051.000,2081.440,1052081.32000,2205091006.31
2023-11-23 00:00:00,2063.950,2090.740,2037.630,2062.880,699718.99000,1443026984.85
2023-11-22 00:00:00,1933.210,2093.650,1928.720,2063.950,1154229.49000,2348146943.03
2023-11-21 00:00:00,2022.470,2036.310,1931.250,1933.210,1242676.57000,2469635926.34
2023-11-20 00:00:00,2012.930,2068.540,1986.240,2022.470,992096.77000,2012672034.88
2023-11-19 00:00:00,1963.560,2016.910,1944.000,2012.930,491459.88000,968676819.23
2023-11-18 00:00:00,1961.240,1972.720,1916.390,1963.560,397154.25000,773906228.77
2023-11-17 00:00:00,1961.400,1991.990,1904.280,1961.240,862748.81000,1683039801.64
2023-11-16 00:00:00,2059.640,2094.060,1938.200,1961.400,1243757.70000,2509415916.66
2023-11-15 00:00:00,1980.150,2065.620,1965.610,2059.640,810865.44000,1636015245.22
2023-11-14 00:00:00,2054.740,2066.600,1919.400,1980.150,1296217.89000,2615647641.72
2023-11-13 00:00:00,2046.470,2120.580,2030.000,2054.740,1205355.73000,2496004393.89
2023-11-12 00:00:00,2054.750,2069.990,2009.700,2046.470,584796.81000,1197400883.45
2023-11-11 00:00:00,2079.340,2091.830,2027.190,2054.750,797244.39000,1642839285.32
2023-11-10 00:00:00,2123.920,2139.990,2065.930,2079.340,1215973.38000,2554434083.70
2023-11-09 00:00:00,1889.410,2135.000,1882.650,2123.920,2565607.62000,5149456052.52
2023-11-08 00:00:00,1886.160,1906.590,1873.110,1889.410,533421.79000,1008217855.82
2023-11-07 00:00:00,1901.740,1908.360,1849.830,1886.160,821559.07000,1545673122.16
2023-11-06 00:00:00,1892.990,1916.000,1869.180,1901.740,755794.69000,1431897366.14
2023-11-05 00:00:00,1856.850,1916.660,1847.260,1892.990,1134114.66000,2137678451.38
2023-11-04 00:00:00,1833.190,1871.900,1824.040,1856.850,497495.31000,916173990.10
2023-11-03 00:00:00,1800.520,1835.000,1775.700,1833.190,795662.47000,1435584907.55
2023-11-02 00:00:00,1848.410,1876.450,1784.220,1800.520,956196.95000,1748714623.28
2023-11-01 00:00:00,1815.810,1862.610,1782.800,1848.410,1157047.52000,2106612261.61
2023-10-31 00:00:00,1809.920,1820.900,1780.100,1815.810,526511.27000,948301787.58
2023-10-30 00:00:00,1795.500,1831.880,1777.300,1809.920,604108.73000,1090562931.48
2023-10-29 00:00:00,1776.660,1813.200,1762.800,1795.500,318661.36000,570914171.48
2023-10-28 00:00:00,1780.100,1804.370,1769.440,1776.660,285224.72000,509624036.07
2023-10-27 00:00:00,1803.880,1804.500,1740.740,1780.100,608588.15000,1082293452.34
2023-10-26 00:00:00,1787.020,1869.000,1761.420,1803.880,1037538.56000,1879511304.33
2023-10-25 00:00:00,1784.550,1819.160,1759.120,1787.020,705051.63000,1261823906.01
2023-10-24 00:00:00,1766.470,1854.990,1755.220,1784.550,1281731.01000,2312841125.51
