Time,Open,High,Low,Close,Volume,Turnover
2021-08-28 12:00:00,3223.350,3250.550,3212.600,3245.000,13538.01000,43930842.45
2021-08-28 08:00:00,3230.150,3257.000,3212.150,3223.350,9909.50000,31941786.82
2021-08-28 04:00:00,3245.100,3257.000,3226.900,3230.150,8857.36000,28610601.40
2021-08-28 00:00:00,3274.200,3287.600,3240.950,3245.100,10755.78000,34903581.68
2021-08-27 20:00:00,3232.250,3281.000,3223.250,3274.200,14959.81000,48981409.90
2021-08-27 16:00:00,3241.750,3265.650,3200.050,3232.250,29812.46000,96361323.83
2021-08-27 12:00:00,3159.100,3260.000,3136.250,3241.750,35466.52000,114973591.21
2021-08-27 08:00:00,3128.150,3174.800,3106.050,3159.100,22467.18000,70976068.34
2021-08-27 04:00:00,3094.800,3133.750,3080.000,3128.150,11591.81000,36260920.45
2021-08-27 00:00:00,3094.700,3147.950,3064.400,3094.800,26196.34000,81072433.03
2021-08-26 20:00:00,3110.700,3148.850,3092.000,3094.700,10870.38000,33640564.99
2021-08-26 16:00:00,3106.400,3135.000,3077.900,3110.700,14103.28000,43871073.10
2021-08-26 12:00:00,3089.250,3150.950,3055.000,3106.400,36159.85000,112326958.04
2021-08-26 08:00:00,3106.500,3119.450,3076.950,3089.250,16919.98000,52270048.22
2021-08-26 04:00:00,3147.000,3166.450,3059.650,3106.500,42121.85000,130851527.03
2021-08-26 00:00:00,3228.350,3253.150,3140.050,3147.000,23111.89000,72733117.83
2021-08-25 20:00:00,3213.500,3238.150,3198.000,3228.350,15162.30000,48949211.20
2021-08-25 16:00:00,3218.600,3246.500,3201.600,3213.500,21278.45000,68378299.08
2021-08-25 12:00:00,3139.450,3227.250,3103.050,3218.600,33883.90000,109058720.54
2021-08-25 08:00:00,3185.100,3186.500,3076.550,3139.450,40087.49000,125852670.48
2021-08-25 04:00:00,3179.000,3223.700,3161.500,3185.100,20370.32000,64881506.23
2021-08-25 00:00:00,3174.400,3218.650,3172.400,3179.000,16406.74000,52157026.46
2021-08-24 20:00:00,3220.050,3226.600,3168.800,3174.400,21902.94000,69528692.74
2021-08-24 16:00:00,3213.550,3235.250,3145.450,3220.050,64638.38000,208138815.52
2021-08-24 12:00:00,3326.400,3327.500,3205.000,3213.550,47387.10000,152280815.21
2021-08-24 08:00:00,3351.400,3355.700,3304.000,3326.400,18684.47000,62152021.01
2021-08-24 04:00:00,3325.750,3361.950,3316.850,3351.400,22148.20000,74227477.48
2021-08-24 00:00:00,3323.950,3351.100,3285.000,3325.750,23757.82000,79012569.86
2021-08-23 20:00:00,3313.050,3346.200,3282.000,3323.950,17338.97000,57633869.33
2021-08-23 16:00:00,3329.750,3358.900,3308.400,3313.050,23130.06000,76631045.28
2021-08-23 12:00:00,3345.000,3379.000,3296.550,3329.750,39145.43000,130344495.54
2021-08-23 08:00:00,3325.650,3368.300,3318.500,3345.000,23366.12000,78159671.40
2021-08-23 04:00:00,3345.650,3360.000,3315.000,3325.650,19429.78000,64616647.86
2021-08-23 00:00:00,3242.050,3363.800,3233.100,3345.650,42260.04000,141387302.83
2021-08-22 20:00:00,3175.550,3256.650,3134.000,3242.050,28027.53000,90866653.64
2021-08-22 16:00:00,3181.600,3197.050,3125.000,3175.550,31470.64000,99936590.85
2021-08-22 12:00:00,3256.850,3264.600,3150.900,3181.600,43349.48000,137920705.57
2021-08-22 08:00:00,3263.950,3273.850,3241.700,3256.850,13802.00000,44951043.70
2021-08-22 04:00:00,3228.500,3272.650,3228.050,3263.950,14041.70000,45831406.72
2021-08-22 00:00:00,3226.000,3258.100,3216.650,3228.500,11250.93000,36323627.51
2021-08-21 20:00:00,3216.950,3262.000,3213.050,3226.000,12989.89000,41905385.14
2021-08-21 16:00:00,3275.000,3292.900,3207.300,3216.950,24213.11000,77892364.21
2021-08-21 12:00:00,3251.700,3298.300,3248.000,3275.000,16430.33000,53809330.75
2021-08-21 08:00:00,3295.950,3314.900,3242.100,3251.700,25681.09000,83507200.35
2021-08-21 04:00:00,3275.550,3310.900,3257.800,3295.950,19148.40000,63112168.98
2021-08-21 00:00:00,3284.800,3286.250,3236.000,3275.550,17703.36000,57988240.85
