Time,Open,High,Low,Close,Volume,Turnover
2022-12-19 00:00:00,16729.500,16805.000,16203.000,16432.500,106830.57900,1772946811.25
2022-12-18 00:00:00,16770.500,16900.000,16656.000,16729.500,52565.04600,879894523.94
2022-12-17 00:00:00,16634.000,16792.500,16574.500,16770.500,61679.36800,1029349655.16
2022-12-16 00:00:00,17353.500,17530.000,16532.500,16634.000,198399.79800,3370100854.78
2022-12-15 00:00:00,17790.000,17830.500,17262.000,17353.500,126228.83800,2211308115.35
2022-12-14 00:00:00,17764.500,18379.000,17514.000,17790.000,214192.68200,3844628970.55
2022-12-13 00:00:00,17194.000,18000.000,17060.000,17764.500,189951.13800,3340700443.25
2022-12-12 00:00:00,17078.000,17234.500,16870.000,17194.000,98693.27000,1679393152.50
2022-12-11 00:00:00,17121.000,17261.500,17060.000,17078.000,37999.72800,651630428.69
2022-12-10 00:00:00,17116.000,17219.500,17086.000,17121.000,32090.75100,550387137.76
2022-12-09 00:00:00,17209.500,17348.000,17045.000,17116.000,77124.71800,1324719493.88
2022-12-08 00:00:00,16823.000,17286.000,16702.500,17209.500,112023.48300,1904194633.94
2022-12-07 00:00:00,17081.500,17135.000,16666.500,16823.000,86069.54200,1450139255.97
2022-12-06 00:00:00,16966.000,17116.500,16903.500,17081.500,80065.83300,1360607954.29
2022-12-05 00:00:00,17096.000,17425.500,16867.000,16966.000,139606.62000,2396592013.69
2022-12-04 00:00:00,16881.000,17195.000,16880.500,17096.000,76561.75800,1304181954.31
2022-12-03 00:00:00,17083.500,17150.000,16855.000,16881.000,55577.33500,943081116.90
2022-12-02 00:00:00,16972.500,17100.000,16769.000,17083.500,99441.59000,1684912323.05
2022-12-01 00:00:00,17146.500,17390.000,16850.000,16972.500,115491.53800,1969736784.86
2022-11-30 00:00:00,16427.000,17270.000,16418.000,17146.500,179218.27400,3027898282.87
2022-11-29 00:00:00,16206.000,16547.000,16096.500,16427.000,118283.97900,1940275045.36
2022-11-28 00:00:00,16426.000,16477.000,15985.000,16206.000,155591.76700,2520708911.98
2022-11-27 00:00:00,16449.000,16588.500,16401.000,16426.000,45324.67300,748788845.47
2022-11-26 00:00:00,16510.500,16685.000,16376.500,16449.000,63440.90000,1050043190.62
2022-11-25 00:00:00,16594.500,16646.000,16339.000,16510.500,79584.53200,1311824306.56
2022-11-24 00:00:00,16589.000,16810.000,16450.000,16594.500,95732.12900,1589477609.78
2022-11-23 00:00:00,16218.500,16710.500,16154.500,16589.000,155912.47400,2569588904.41
2022-11-22 00:00:00,15765.500,16300.000,15620.000,16218.500,161518.21200,2582368814.49
2022-11-21 00:00:00,16273.500,16789.000,15440.000,15765.500,227818.72400,3639865973.43
2022-11-20 00:00:00,16688.000,16739.500,16180.000,16273.500,93939.76800,1549093515.24
2022-11-19 00:00:00,16700.000,16799.000,16551.000,16688.000,43365.10000,722417344.01
2022-11-18 00:00:00,16688.500,16997.000,16541.500,16700.000,104046.59800,1742543739.16
2022-11-17 00:00:00,16643.000,16739.500,16400.000,16688.500,102872.23000,1705714231.95
2022-11-16 00:00:00,16878.000,17011.000,16367.000,16643.000,140983.36300,2346359122.70
2022-11-15 00:00:00,16607.500,17160.000,16515.500,16878.000,181155.60200,3049339793.45
