Time,Open,High,Low,Close,Volume,Turnover
2024-07-10 00:00:00,141.360,146.320,138.460,141.940,7143076.30000,1015777499.13
2024-07-09 00:00:00,139.760,144.350,136.330,141.360,9989961.40000,1406975366.49
2024-07-08 00:00:00,131.590,142.130,127.650,139.760,16138891.90000,2197451204.01
2024-07-07 00:00:00,142.960,143.230,131.140,131.590,7359804.50000,1015050655.23
2024-07-06 00:00:00,134.200,144.180,132.200,142.960,8462087.20000,1174520183.03
2024-07-05 00:00:00,127.730,136.490,120.440,134.200,20194676.40000,2590043767.29
2024-07-04 00:00:00,140.720,142.630,127.080,127.730,14745293.80000,1977873467.08
2024-07-03 00:00:00,153.950,154.450,138.700,140.720,11426570.20000,1655626157.51
2024-07-02 00:00:00,146.600,154.930,146.050,153.950,6884374.50000,1033036649.90
2024-07-01 00:00:00,146.540,149.290,145.800,146.600,5404953.60000,797411688.69
2024-06-30 00:00:00,140.150,147.800,137.020,146.540,5965929.10000,847516463.73
2024-06-29 00:00:00,140.000,143.160,139.530,140.150,3512682.10000,497187002.19
2024-06-28 00:00:00,149.620,150.800,138.860,140.000,10436937.30000,1503419265.51
2024-06-27 00:00:00,136.740,151.270,135.040,149.620,10737391.60000,1555579646.71
2024-06-26 00:00:00,136.480,140.360,134.700,136.740,6547905.90000,897996613.99
2024-06-25 00:00:00,132.230,139.870,131.060,136.480,7763386.90000,1058296819.17
2024-06-24 00:00:00,128.620,132.570,121.510,132.230,15411116.50000,1956933149.65
2024-06-23 00:00:00,133.610,135.110,128.130,128.620,4080436.40000,538742942.63
2024-06-22 00:00:00,134.590,136.760,132.710,133.610,3438660.80000,462602697.55
2024-06-21 00:00:00,133.490,135.380,128.600,134.590,9312932.20000,1229292483.41
2024-06-20 00:00:00,135.540,141.300,131.740,133.490,8762655.10000,1187344229.75
2024-06-19 00:00:00,137.370,141.840,134.340,135.540,6604757.80000,911589470.60
2024-06-18 00:00:00,143.180,143.720,127.230,137.370,14154965.50000,1914406571.72
2024-06-17 00:00:00,151.190,151.680,139.760,143.180,7636213.00000,1104808745.14
2024-06-16 00:00:00,145.440,151.490,142.910,151.190,3404374.70000,499936482.18
2024-06-15 00:00:00,142.930,145.750,142.800,145.440,2906210.30000,419633206.00
2024-06-14 00:00:00,147.200,148.920,139.420,142.930,6967294.00000,1005377238.37
2024-06-13 00:00:00,155.150,155.150,145.960,147.200,5449589.70000,816151808.66
2024-06-12 00:00:00,149.230,161.750,145.360,155.150,7995526.10000,1240859801.65
2024-06-11 00:00:00,159.060,159.770,145.130,149.230,8406629.20000,1276708039.00
2024-06-10 00:00:00,162.090,163.210,157.460,159.060,3780736.60000,605599178.67
2024-06-09 00:00:00,157.830,163.100,156.510,162.090,2535294.90000,405951295.35
2024-06-08 00:00:00,162.520,163.840,157.340,157.830,2998662.30000,481862641.62
2024-06-07 00:00:00,170.240,173.130,152.200,162.520,7964158.30000,1310384817.52
2024-06-06 00:00:00,173.650,174.500,167.650,170.240,3728128.20000,640373028.26
2024-06-05 00:00:00,171.870,175.760,171.230,173.650,4943316.40000,857099050.37
2024-06-04 00:00:00,165.000,171.980,164.330,171.870,3937259.80000,660100681.65
2024-06-03 00:00:00,163.240,167.490,161.930,165.000,4578826.80000,756083602.85
2024-06-02 00:00:00,166.240,167.250,161.320,163.240,3183305.60000,523568359.06
2024-06-01 00:00:00,165.720,168.260,165.700,166.240,1684005.00000,281433242.39
2024-05-31 00:00:00,166.910,171.220,163.990,165.720,5139069.40000,858365843.27
2024-05-30 00:00:00,168.380,172.820,163.550,166.910,6144881.80000,1032502198.71
2024-05-29 00:00:00,168.790,174.080,167.160,168.380,6377196.30000,1083473635.54
2024-05-28 00:00:00,170.280,173.430,164.920,168.790,7526314.00000,1270191955.33
2024-05-27 00:00:00,163.540,172.440,163.450,170.280,5575721.80000,938287066.95
2024-05-26 00:00:00,168.440,168.470,160.810,163.540,4757046.80000,780741536.47
2024-05-25 00:00:00,167.680,170.590,165.920,168.440,3605486.20000,607169457.81
2024-05-24 00:00:00,176.180,176.200,162.500,167.680,7542193.80000,1265256777.62
2024-05-23 00:00:00,177.150,181.260,164.120,176.180,9696876.40000,1687523952.24
2024-05-22 00:00:00,178.230,183.860,175.120,177.150,6534148.50000,1173622750.81
2024-05-21 00:00:00,186.880,189.250,174.400,178.230,8036086.50000,1452796793.93
2024-05-20 00:00:00,169.880,188.540,167.480,186.880,10142336.80000,1821021809.69
2024-05-19 00:00:00,172.330,175.430,166.100,169.880,5450171.60000,930886181.13
2024-05-18 00:00:00,169.360,175.890,168.590,172.330,4557477.60000,787513205.77
2024-05-17 00:00:00,159.360,171.980,159.290,169.360,6561377.80000,1093866064.16
2024-05-16 00:00:00,158.420,164.750,156.510,159.360,7622841.80000,1225072329.87
2024-05-15 00:00:00,141.970,158.790,141.120,158.420,7645557.20000,1145407438.58
2024-05-14 00:00:00,147.430,149.050,141.730,141.970,6270314.50000,909719777.11
2024-05-13 00:00:00,143.360,150.820,137.780,147.430,8576952.80000,1238360390.81
2024-05-12 00:00:00,145.360,147.740,142.360,143.360,3091428.90000,448363286.20
2024-05-11 00:00:00,145.960,147.630,142.880,145.360,3724922.70000,540708482.07
2024-05-10 00:00:00,152.440,155.670,144.080,145.960,8488819.90000,1271165652.84
2024-05-09 00:00:00,142.100,153.380,140.450,152.440,6824002.90000,995325415.38
2024-05-08 00:00:00,148.010,149.880,139.910,142.100,7819819.50000,1139140112.14
2024-05-07 00:00:00,152.840,159.330,147.760,148.010,8204223.20000,1266268897.21
2024-05-06 00:00:00,145.680,156.800,145.340,152.840,9728840.10000,1481883742.72
2024-05-05 00:00:00,145.990,147.930,143.110,145.680,3405043.00000,496028155.76
2024-05-04 00:00:00,143.600,149.110,142.110,145.990,4225250.80000,616144604.95
2024-05-03 00:00:00,137.510,144.950,135.850,143.600,7451881.20000,1048192168.49
